ip,timestamp,url,user_agent,label
40.153.198.140,2026-03-01 16:12:48,/index,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; es-CO) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.18.1",0
40.153.198.140,2026-03-01 16:13:41,/article/18,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; es-CO) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.18.1",0
40.153.198.140,2026-03-01 16:14:13,/category/tech,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; es-CO) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.18.1",0
31.217.175.227,2026-03-01 16:14:28,/article/94,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3 rv:6.0; ss-ZA) AppleWebKit/534.10.3 (KHTML, like Gecko) Version/5.0.1 Safari/534.10.3",0
22.24.243.88,2026-03-01 16:14:45,/index,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5 rv:4.0; nl-NL) AppleWebKit/534.6.7 (KHTML, like Gecko) Version/5.1 Safari/534.6.7",0
22.24.243.88,2026-03-01 16:14:53,/index,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5 rv:4.0; nl-NL) AppleWebKit/534.6.7 (KHTML, like Gecko) Version/5.1 Safari/534.6.7",0
40.153.198.140,2026-03-01 16:15:08,/category/tech,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; es-CO) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.18.1",0
31.217.175.227,2026-03-01 16:15:11,/article/95,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3 rv:6.0; ss-ZA) AppleWebKit/534.10.3 (KHTML, like Gecko) Version/5.0.1 Safari/534.10.3",0
203.4.248.217,2026-03-01 16:15:11,/category/tech,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
203.4.248.217,2026-03-01 16:15:28,/index,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
22.24.243.88,2026-03-01 16:15:46,/category/tech,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5 rv:4.0; nl-NL) AppleWebKit/534.6.7 (KHTML, like Gecko) Version/5.1 Safari/534.6.7",0
40.153.198.140,2026-03-01 16:15:47,/category/tech,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; es-CO) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.18.1",0
40.153.198.140,2026-03-01 16:16:04,/index,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; es-CO) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.18.1",0
